id,created,modified,slug,title,user_id,is_official,search_vector,status,language,is_draft,old_id,is_deleted,is_onboard,platform,pik_photo_id,memo,is_default
449,2019-11-13 11:56:22.129 +0900,2020-08-26 13:52:56.137 +0900,최신-트렌드-맨투맨,최신 트렌드 맨투맨,427,False,"'남성맨투맨':8B '네이버쇼핑':10B '맨투맨':3A,6B '맨투맨코디':11B '브랜드추천':7B '여성맨투맨':9B '최신':1A,4B '트렌드':2A,5B",public,ko,False,,False,False,,,,False
2824,2021-06-17 11:29:08.089 +0900,2021-06-17 11:29:08.091 +0900,excel,excel,1104,False,,private,ko,False,,False,False,,,,False
447,2019-11-13 11:30:12.163 +0900,2020-08-26 13:52:56.144 +0900,가성비-끝판왕-사무용-노트북,가성비 끝판왕 사무용 노트북,428,False,"'50만원대노트북':9B '가성비':1A,5B '가성비좋은노트북':12B '끝판왕':2A,6B '노트북':4A,8B '노트북백팩':11B '노트북수리':10B '사무용':3A,7B",public,ko,False,,False,False,,,,False
446,2019-11-13 11:18:08.618 +0900,2020-08-26 13:52:56.147 +0900,네이버-x-전체삭제요망,네이버 X 전체삭제요망,427,False,"'www.naver.com':4B 'x':2A '네이버':1A,5B '전체삭제요망':3A",public,ko,False,,False,False,,,,False
442,2019-11-12 00:56:44.136 +0900,2020-08-26 13:52:56.151 +0900,접촉성-구순염,접촉성 구순염,49,False,'구순염':2A '입술':4B '접촉성':1A '치료방법':3B,public,ko,False,,False,False,,,,False
441,2019-11-07 16:51:38.929 +0900,2020-08-26 13:52:56.154 +0900,피큐레잇-라이브채팅-기능,피큐레잇 라이브채팅 기능,49,False,"'기능':3A '라이브':4B,6B '라이브채팅':2A '채팅':5B '챗봇':7B '피큐레잇':1A",public,ko,False,,False,False,,,,False
440,2019-11-06 18:19:05.755 +0900,2020-08-26 13:52:56.157 +0900,스타트업-텀시트-이해하기,스타트업 텀시트 이해하기,49,False,"'스타트업':1A '이해하기':3A '작성법':5B '텀시트':2A,4B,6B '투자':7B",public,ko,False,,False,False,,,,False
437,2019-11-01 21:53:45.392 +0900,2020-08-26 13:52:56.170 +0900,바버샵,바버샵,49,False,"'다듬기':3B '바버샵':1A,5B,7B '수염':6B '수엽':2B '전분':4B",public,ko,False,,False,False,,,,False
436,2019-11-01 18:38:47.668 +0900,2020-08-26 13:52:56.174 +0900,브랜드-만들기-참고자료,브랜드 만들기 참고자료,49,False,"'로고':10B '만들기':2A,6B '모음':9B '브랜드':1A,5B,12B '참고자료':3A '참고자료들':8B '테마':11B '프로젝트':7B '피큐레잇':4B",public,ko,False,,False,False,,,,False
435,2019-11-01 07:18:12.435 +0900,2020-08-26 13:52:56.187 +0900,moving-to-san-diego-california,"Moving to San Diego, California",48,False,"'all':6B 'california':5A,18B 'diego':4A,17B 'for':13B 'know':12B 'moving':1A,14B,19B 'need':10B 'san':3A,16B 'stuff':8B 'the':7B 'to':2A,11B,15B 'travel':20B 'you':9B",public,en,False,,False,False,,,,False
1090,2020-09-01 20:02:26.185 +0900,2020-09-01 20:02:26.482 +0900,pikurate-1090,PIKURATE,520,False,'pikurate':1A,private,en,False,,False,False,,,,False
1091,2020-09-01 20:02:51.146 +0900,2020-09-01 20:02:51.306 +0900,kakao-1091,KAKAO,520,False,'kakao':1A,private,en,False,,False,False,,,,False
1093,2020-09-01 20:03:00.065 +0900,2020-09-01 20:03:00.329 +0900,glamgould-1093,GlamGould,520,False,'glamgould':1A,private,en,False,,False,False,,,,False
1094,2020-09-01 20:03:18.020 +0900,2020-09-01 20:03:18.346 +0900,영어독립-1094,영어독립,520,False,'영어독립':1A,private,en,False,,False,False,,,,False
1095,2020-09-01 20:03:45.131 +0900,2020-09-01 20:03:45.373 +0900,빡독-1095,빡독,520,False,'빡독':1A,private,en,False,,False,False,,,,False
1100,2020-09-01 20:04:47.876 +0900,2020-09-01 20:04:48.169 +0900,creo-1100,CREO,520,False,'creo':1A,private,en,False,,False,False,,,,False
1101,2020-09-01 20:04:57.157 +0900,2020-09-01 20:04:57.429 +0900,volla-1101,Volla,520,False,'volla':1A,private,en,False,,False,False,,,,False
1103,2020-09-01 20:05:45.554 +0900,2020-09-01 20:05:45.820 +0900,tools-1103,Tools,520,False,'tools':1A,private,en,False,,False,False,,,,False
2114,2021-01-25 21:24:13.715 +0900,2021-01-25 21:24:13.718 +0900,개발,개발,823,False,'개발':1A,private,ko,False,,False,False,,,,False
908,2020-08-15 09:54:38.412 +0900,2020-08-26 13:52:54.522 +0900,팁스운영사-블루포인트파트너스의-모든-것,팁스운영사 블루포인트파트너스의 모든 것,49,False,'것':4A '모든':3A '블루포인트파트너스의':2A '팁스운영사':1A,public,ko,False,,False,False,,,,False
429,2019-10-18 17:03:58.580 +0900,2020-08-26 16:28:17.615 +0900,e-커머스-구매전환율-정보,e-커머스 구매전환율 정보,49,False,'e':2A 'e-커머스':1A '구매전환율':4A '정보':5A '커머스':3A,public,ko,False,,False,False,,,,False
1420,2020-10-02 02:39:28.543 +0900,2020-10-02 02:39:28.545 +0900,idk,Idk,634,False,'idk':1A,private,ko,False,,False,False,,,,False
1531,2020-10-22 16:02:01.387 +0900,2020-10-22 16:16:03.055 +0900,콘텐츠_마케팅,콘텐츠_마케팅,622,False,'마케팅':2A '콘텐츠':1A,private,ko,False,,False,False,,,,False
1673,2020-11-12 11:45:11.061 +0900,2020-11-12 16:45:46.772 +0900,browser,Browser,677,False,'browser':1A,public,en,False,,False,False,,,,False
1678,2020-11-12 14:02:01.184 +0900,2020-11-12 16:34:40.794 +0900,rdbms,RDBMS,677,False,'rdbms':1A,public,en,False,,False,False,,,,False
1503,2020-10-19 09:30:52.457 +0900,2020-10-19 09:37:48.378 +0900,work,Work,625,False,'work':1A,public,ko,False,,False,False,,,,False
1540,2020-10-22 23:08:15.887 +0900,2020-10-22 23:08:15.889 +0900,insight,Insight,625,False,'insight':1A,public,ko,False,,False,False,,,,False
456,2019-11-13 14:46:10.048 +0900,2022-08-23 16:00:56.598 +0900,직장인에게-유용한-다이어트-방법-070056-456,직장인에게 유용한 다이어트 방법,430,False,"'간단한운동법':11B '다이어트':3A,7B '다이어트간식':10B '방법':4A,8B '식단관리':9B '유용한':2A,6B '직장인에게':1A,5B",public,ko,False,,True,False,,,,False
24616,2022-09-17 05:58:29.290 +0900,2022-09-17 05:58:29.294 +0900,dsd,dsd,7346,False,,public,ko,False,,False,False,,,,False
24683,2022-09-18 13:18:57.405 +0900,2022-09-18 13:18:57.408 +0900,추천-ai,추천 AI,7358,False,,public,ko,False,,False,False,,,,False
780,2020-06-03 13:05:38.880 +0900,2020-08-26 13:52:54.936 +0900,first-pick,First Pick,477,False,'first':1A 'pick':2A,private,en,False,,False,False,,,,False
737,2020-05-14 15:04:04.088 +0900,2020-08-26 13:52:55.106 +0900,ai-pik-about-video,AI pik about video,465,False,'about':3A 'ai':1A 'pik':2A 'video':4A,private,en,False,,False,False,,,,False
434,2019-10-30 00:39:34.312 +0900,2020-08-26 13:52:56.210 +0900,superman,superman,417,False,"'1':41B '190cm이다':69B '1932년':16B '1938년':29B '6월':38B 'dc':7B,33B,70B 'man':72B 'super':71B 'superman':1A,4B '공식적인':66B '그해':37B '기자':60B '꼽힌다':15B '나오는':9B '데일리':55B '드라마들이':52B '등의':47B '등장하여':49B '등장했다':44B '디텍티브':30B '리브':46B '만들어진':50B '만화가':23B '문화의':13B '미국':6B,12B '미국의':17B '배우가':48B '상징으로':14B '생활을':63B '슈스터가':25B '슈퍼맨':2B '슈퍼맨의':65B '시걸과':20B '신문사':59B '신문사의':57B '신체는':67B '액션':39B '어리버리한':58B '에':35B,42B '영어':3B '영웅으로':10B '영화나':51B '오하이오주':26B '은':5B '있다':53B '작가':18B '제리':19B '조':24B '창조해내고':28B '처음':43B '출신':22B '캐나다':21B '켄트로':62B '코믹스':31B,34B,40B '코믹스에':8B '크리스토퍼':45B '클라크':61B '클리블랜드에서':27B '키':68B '팔았으며':36B '평소에는':54B '플래닛':56B '한다':64B '현':32B '흔히':11B",public,en,False,,False,False,,,,False
433,2019-10-24 21:35:20.383 +0900,2020-08-26 13:52:56.214 +0900,스타트업을-시간-날때-볼-자료들,스타트업을 시간 날때 볼 자료들,49,False,"'공부':7B '날때':3A '볼':4A '스타트업':6B,8B '스타트업을':1A '시간':2A '자료들':5A",public,ko,False,,False,False,,,,False
432,2019-10-24 16:38:15.162 +0900,2020-08-26 13:52:56.217 +0900,픽-자동생성-소스-모음,픽 자동생성 소스 모음,49,False,"'모음':4A '소스':3A '자동':7B '자동생성':2A,6B '픽':1A,5B,8B",public,ko,False,,False,False,,,,False
431,2019-10-23 18:35:59.680 +0900,2020-08-26 13:52:56.221 +0900,제휴마케팅-관련-자료-모음,제휴마케팅 관련 자료 모음,49,False,"'관련':2A '마케팅':6B,8B '모음':4A '자료':3A '제휴':5B,7B '제휴마케팅':1A",public,ko,False,,False,False,,,,False
430,2019-10-22 22:47:23.512 +0900,2020-08-26 13:52:56.224 +0900,인큐베이터와-엑셀러레이터,인큐베이터와 엑셀러레이터,49,False,"'관련정보':3B '엑셀러레이터':2A,4B '인큐베이터':5B '인큐베이터와':1A",public,ko,False,,False,False,,,,False
1106,2020-09-02 09:44:38.820 +0900,2020-09-02 09:44:39.083 +0900,캠핑-1106,캠핑,554,False,'캠핑':1A,private,en,False,,False,False,,,,False
428,2019-10-18 15:33:36.406 +0900,2020-08-26 13:52:56.270 +0900,angularjs-development-company,AngularJs Development Company,413,False,"'+18634100071':80B '228':68B '3rd':71B '94301':76B 'address':67B 'also':35B 'alto':74B 'an':6B,62B,65B 'and':25B,55B,57B 'angularjs':1A,87B 'api':85B,90B 'api/web':58B 'app':50B 'as':46B 'avenue':70B 'blockchain':26B 'breaking':31B 'business':21B 'by':20B 'ca':75B 'cms':47B 'company':3A,9B,89B,95B 'custom':84B 'deep':23B 'design':54B 'development':2A,13B,41B,48B,51B,56B,88B,94B 'enterprise':66B 'extends':36B 'faced':19B 'floor':72B 'focused':10B 'for':16B,39B,61B 'ground':30B 'ground-breaking':29B 'hamilton':69B 'individual':63B 'integration':60B,86B,91B 'is':5B 'it':7B,34B,43B 'learning':24B 'mobile':49B 'most':28B 'number':79B 'of':14B,42B 'on':11B 'or':64B 'palo':73B 'phone':78B 'php':93B 'portal':53B 'problems':18B 'quantumsoftech':4B 'services':38B,59B,92B 'solutions':8B,15B,44B 'such':45B 'technologies':32B 'the':12B,17B,27B,37B,40B 'today':33B 'us':82B 'usa':77B 'using':22B 'visit':81B 'web':52B 'www.quantumsoftech.com':83B",public,en,False,,False,False,,,,False
426,2019-10-09 16:00:58.607 +0900,2020-08-26 13:52:56.288 +0900,salesforce,Salesforce,408,False,"'crm':4B 'salesforce':1A,3B 'salesforce.com':2B",public,en,False,,False,False,,,,False
424,2019-10-02 21:18:29.431 +0900,2020-08-26 13:52:56.296 +0900,베스트-디자인-사이트-모음,베스트 디자인 사이트 모음,49,False,"'개인':5B '디자인':2A,8B,10B '모음':4A '베스트':1A '사이트':3A '웹사이트':7B,9B '취향':6B",public,ko,False,,False,False,,,,False
422,2019-09-30 08:30:44.748 +0900,2020-08-26 13:52:56.309 +0900,newyork-trip,Newyork trip,407,False,"'for':6B 'journey':10B 'newyork':1A,7B,11B 'searched':3B 'several':4B 'tips':5B 'travel':8B,12B 'trip':2A,13B 'usa':9B",public,en,False,,False,False,,,,False
421,2019-09-19 08:07:40.269 +0900,2020-08-26 13:52:56.342 +0900,language-literature,Language - Literature,207,False,"'analysis':4B 'comparative':8B 'conceptual':3B 'for':7B 'language':1A,6B,10B 'literature':2A,9B,11B 'of':5B",public,en,False,,False,False,,,,False
419,2019-09-10 15:35:25.504 +0900,2020-08-26 13:52:56.354 +0900,송석규-님의-세번째-픽,송석규 님의 세번째 픽,49,False,"'걸로':7B '님의':2A '디스크립션은':5B '세번째':3A,10B '송걱규':8B '송석규':1A '없애는':6B '픽':4A,9B",public,ko,False,,False,False,,,,False
418,2019-09-06 17:49:34.409 +0900,2020-08-26 13:52:56.357 +0900,태국-여행시-알아야할-것들,태국 여행시 알아야할 것들,49,False,"'것들':4A '모음':12B '방문':7B '비즈니스':6B,13B '시':8B '알아야':9B '알아야할':3A '여행':16B '여행시':2A '정보':11B,15B '태국':1A,5B,14B '할':10B",public,ko,False,,False,False,,,,False
416,2019-09-02 16:43:55.830 +0900,2020-08-26 13:52:56.400 +0900,theory-of-history,Theory of History,349,False,"'history':3A,6B,9B 'of':2A,5B,8B 'theory':1A,4B,7B",public,en,False,,False,False,,,,False
414,2019-08-29 01:00:39.498 +0900,2020-08-26 13:52:56.433 +0900,best-networking-questions,Best networking questions,349,False,"'best':1A,4B 'networking':2A,5B,7B 'questions':3A,6B",public,en,False,,False,False,,,,False
427,2019-10-14 16:02:41.474 +0900,2020-08-26 16:38:12.070 +0900,고용지원-제도-관련된-모든-정보-모음,고용지원 제도 관련된 모든 정보 모음,49,False,'고용지원':1A '관련된':3A '모든':4A '모음':6A '정보':5A '제도':2A,public,ko,False,,False,False,,,,False
1174,2020-09-09 20:26:02.544 +0900,2020-09-09 20:27:23.847 +0900,현대엔지니어링,현대엔지니어링,572,False,'현대엔지니어링':1A,private,en,False,,False,False,,,,False
1245,2020-09-14 16:34:23.350 +0900,2020-09-14 16:35:21.091 +0900,피큐레잇-사랑해요,피큐레잇 사랑해요,49,False,'사랑해요':2A '피큐레잇':1A,public,ko,False,,False,False,,,,False
489,2019-11-20 16:51:28.214 +0900,2020-08-26 16:35:42.985 +0900,인터넷으로-돈-벌어보자-누구나-할-수-있는-인터넷-부업의-모든-것,인터넷으로 돈 벌어보자  (누구나 할 수 있는 인터넷 부업의 모든 것),428,False,'것':11A '누구나':4A '돈':2A '모든':10A '벌어보자':3A '부업의':9A '수':6A '인터넷':8A '인터넷으로':1A '있는':7A '할':5A,public,ko,False,,False,False,,,,False
297,2019-06-20 11:51:33.087 +0900,2020-08-26 13:52:58.098 +0900,libraries-for-web-dev,Libraries for Web Dev,349,False,"'dev':4A,8B,10B 'for':2A,6B 'libraries':1A,5B 'web':3A,7B,9B",public,en,False,,False,False,,,,False
5779,2021-08-31 17:41:40.378 +0900,2021-08-31 17:52:00.837 +0900,asdf,asdf,910,False,,public,ko,False,,True,False,,,,False
7500,2021-10-18 18:13:14.391 +0900,2021-10-18 18:13:14.393 +0900,디3-언론-보도-모음,디3 언론 보도 모음,1576,False,,public,en,False,,False,False,,,,False
24489,2022-09-15 13:53:01.388 +0900,2022-09-15 13:53:01.424 +0900,quick-link-box-045301-24489,Quick Link Box,7303,False,,private,en,False,,False,False,,,,True
12776,2022-04-12 15:44:15.789 +0900,2022-04-12 15:57:46.913 +0900,통계,통계,4092,False,,public,ko,False,,False,False,,,,False
12897,2022-04-13 10:00:27.628 +0900,2022-04-13 10:00:27.630 +0900,triple-h,Triple H,4558,False,,public,en,False,,False,False,,,,False
24443,2022-09-14 18:59:11.003 +0900,2022-09-14 19:57:30.169 +0900,무료-이미지-사이트,무료 이미지 사이트,7140,False,,public,ko,False,,False,False,,,,False
24532,2022-09-15 17:36:30.439 +0900,2022-09-15 17:36:30.442 +0900,the-world-of-whisky,The World of Whisky,6588,False,,public,ko,False,,False,False,,,,False
6060,2021-09-05 15:31:17.406 +0900,2021-09-05 15:31:17.408 +0900,모바일,모바일,3041,False,,public,ko,False,,False,False,,,,False
408,2019-08-12 14:52:13.027 +0900,2020-08-26 16:39:41.910 +0900,주피큐레잇-한국지사-각종-정부지원-사업-및-기타-지원예정정보-모음,(주)피큐레잇 한국지사 각종 정부지원 사업 및 기타 지원(예정)정보 모음,17,False,'각종':4A '기타':8A '모음':12A '및':7A '사업':6A '예정':10A '정보':11A '정부지원':5A '주':1A '지원':9A '피큐레잇':2A '한국지사':3A,public,ko,False,,False,False,,,,False
