id,created,modified,title,description,url,category_id,picture_id,user_id,default_logo,position,search_vector,old_id,memo,is_deleted,is_draft,platform,curating_point,next_obj,previous_obj,imported
575916,2022-09-02 13:07:08.202 +0900,2022-09-02 13:07:09.063 +0900,서태지-이지아 1997년 美혼인신고 '확인' - 머니투데이,"가수 서태지와 탤런트 이지아의 미국 혼인신고 여부가 확인돼 비밀결혼이 사실로 드러났다. 22일 온라인매체 디스패치는 ""미국 네바다주 등기소를 통해 혼인신고 ...",http://www.mt.co.kr/view/mtview.php?type=1&no=2011042210544021444&outlink=1,59941.0,,1576,2,-1,,,서태지-이지아 1997년 美혼인신고 확인,False,False,web,1,575915,0,
575915,2022-09-02 13:07:04.441 +0900,2022-09-02 13:07:09.418 +0900,이지아 “서태지와는 1993년 처음 만났다”,이지아의 소속사 키이스트가 서태지와 소송에 대해 공식 입장을 밝혔다. 키이스트는 21일 보도자료를 통해...,http://sports.khan.co.kr/news/sk_index.html?cat=view&art_id=201104220007483&sec_id=540101,59941.0,568584.0,1576,4,-1,,,이지아 서태지와는 1993년 처음 만났다,False,False,web,1,575914,575916,
511528,2022-06-15 11:04:48.566 +0900,2022-09-02 13:07:12.361 +0900,"서태지-이지아, 법정공방 6개월만에 마무리",서태지(사진) 소속사 서태지컴퍼니는 “서태지와 이지아의 양측 변호사가 법원의 조정조서에 합의를 하면서 6개월간의 긴 법정공방을 마무리했다”고 29일 밝혔다.서태지컴퍼니 측이 이날 배포한 합의된 조정조서의 주요내용은 다음과 같다.요지는 “향후 쌍방은 혼인과 관련해 더 이상 어떠...,http://www.segye.com/content/html/2011/07/29/20110729001923.html,59942.0,514188.0,1576,4,-1,,,"서태지-이지아, 법정 공방 6개월 만에 마무리",False,False,web,1,511527,575917,
575920,2022-09-02 13:07:19.596 +0900,2022-09-02 13:07:24.518 +0900,"[news] seo taji, lee jia, Divorce Settlement (서태지-이지아 소송 극적 합의)",200 million penalty for marriage at the time of publication  대한민국을 떠들썩하게 했던 서태지-이지아씨의 소송이 마무리 됐습니다. 양측은 오늘 오전 법원의 조정조서에 합의를 한 것으로 알려졌는데요. 자세한 내용 지금 함께 보시죠~지난...,https://www.youtube.com/watch?v=opEBfpCcdtM,59942.0,568588.0,1576,3,-1,,,서태지-이지아 소송 극적 합의,False,False,web,1,575919,575921,
575917,2022-09-02 13:07:10.773 +0900,2022-09-02 13:07:15.253 +0900,"이지아, 왜 소송했고 왜 취하했나‥열쇠는 '판결문'",[뉴스데스크]◀ＡＮＣ▶ 이지아 씨가 서태지 씨 상대 소송을 어제 취하했는데요. 미국 이혼 판결문의 '재산 문제 합의서'가 의문의 열쇠로 보입니다. LA 윤도한 ...,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=214&aid=0000176966,59942.0,568585.0,1576,4,-1,,,"이지아, 왜 소송했고 왜 취하했나‥열쇠는 판결문",False,False,web,1,511528,575918,
575919,2022-09-02 13:07:16.557 +0900,2022-09-02 13:07:21.711 +0900,"서태지 소취하 거부 “사건 재발생 가능성 배제 못해, 사실확인 법원 판결 맡긴다” | 네이트 뉴스",방송/가요>전체 뉴스: 서태지측 소취하 거부 “사건의 사실 확인위해 법원 판결에 맡기겠다”     서태지 서취하 거부로 서태지 이지아 법적공방이 다시 시작될 것으로 보인다.  서태지는 5월17일 피고대리인을 통해 법원에 소취하부동의서를 제출해 이지아 소취하를 거부했다.  서...,http://news.nate.com/view/20110517n25855,59942.0,568587.0,1576,4,-1,,,"서태지 소 취하 거부 사건 재 발생 가능성 배제 못해, 사실확인 법원 판결 맡긴다",False,False,web,1,575918,575920,
575922,2022-09-02 13:07:25.869 +0900,2022-09-02 13:07:30.712 +0900,"이지아, 서태지 상대 소송 취하…왜?",배우 이지아씨(33·본명 김지아)가 가수 겸 작곡가 서태지씨(39·본명 정현철)를 상대로 낸 위자료 ...,http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201104301621161&code=940100,59942.0,568590.0,1576,3,-1,,,"이지아, 서태지 상대 소송 취하…왜?",False,False,web,1,575921,575923,
575924,2022-09-02 13:07:32.032 +0900,2022-09-02 13:07:33.111 +0900,"서태지-이지아, 법정공방 6개월만에 마무리",서태지(사진) 소속사 서태지컴퍼니는 “서태지와 이지아의 양측 변호사가 법원의 조정조서에 합의를 하면서 6개월간의 긴 법정공방을 마무리했다”고 29일 밝혔다.서태지컴퍼니 측이 이날 배포한 합의된 조정조서의 주요내용은 다음과 같다.요지는 “향후 쌍방은 혼인과 관련해 더 이상 어떠...,http://www.segye.com/content/html/2011/07/29/20110729001923.html,59942.0,568592.0,1576,2,-1,,,"서태지-이지아, 법정 공방 6개월 만에 마무리",False,False,web,1,575923,0,
575921,2022-09-02 13:07:23.057 +0900,2022-09-02 13:07:27.956 +0900,서태지·이지아 소송…두 사람이 부부였다,"【 앵커멘트 】 톱스타 서태지 씨와 탤런트 이지아 씨의 소송 소식이 전해졌습니다. 팬들은 놀라움을 감추지 못하고 있는데요, 자세한 소식 취재기자 연결해 보겠습니다. 이동훈 기자!(예, ...",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=115&oid=057&aid=0000161829,59942.0,568589.0,1576,1,-1,,,서태지·이지아 소송…두 사람이 부부였다,False,False,web,1,575920,575922,
575923,2022-09-02 13:07:29.265 +0900,2022-09-02 13:07:33.519 +0900,[연예투데이] 서태지-이지아 첫만남에서 이혼까지 外,[뉴스투데이]◀ＡＮＣ▶이어서 연예계 화제의 소식 알아봅니다.서태지 씨와 이지아 씨의 비밀결혼과 이혼사실이 알려지면서 충격파가 쉽지 가라앉지 않고 있는데요.두 사람의 첫 만남에서 ...,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=214&aid=0000176162,59942.0,568591.0,1576,2,-1,,,서태지-이지아 첫 만남에서 이혼까지 外,False,False,web,1,575922,575924,
